station_code,station_name,osm_name,lat,lon,wikidata,match_status,match_method,match_confidence,source_ogd,source_osm
TCL,Tyakal,Tyakal,12.9845826,78.0711128,Q63369886,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
BFW,Byatrayanhal,Byatrayanahalli,12.9955268,78.0174938,Q63369884,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TPT,Tirupattur,Tirupattur,12.4983561,78.5618167,Q24943571,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KPN,Kuppam,Kuppam,12.74728,78.3403626,Q63369901,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
KIK,Karaikal,Karaikal,10.9170705,79.8389621,Q16893133,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
NCR,Nagore,Nagore,10.8189873,79.8460145,Q63356767,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SAP,Sattenapalle,Chennai International Airport,12.9808092,80.1642026,Q5091440,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
VLNK,Velankanni,Velankanni,10.6868771,79.8461807,Q13119476,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
NGT,Nagappattina,Nagappattinam Junction,10.7598214,79.8456137,Q24943209,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TVR,Thiruvarur J,Thiruvarur Junction,10.7650016,79.6336962,Q16901577,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SY,Sirkazhi,Sirkazhi,11.2430382,79.7283976,Q18359109,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
CDM,Chidambaram,Chidambaram,11.3920706,79.703025,Q18111143,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
CJ,Kanchipuram,Kanchipuram,12.8483107,79.705073,Q15233410,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TRT,Tiruttani,Tiruttani,13.1792949,79.6121808,Q63369567,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
VN,Vaniyambadi,Vaniyambadi,12.679344,78.6227478,Q63355617,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SKP,Shankarpalli,Kaladipet,13.1506672,80.2993928,,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SLI,Sangli,எல் ஐ சி,13.0643716,80.2658465,Q62005418,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
VLR,Vellore Cant,Vellore Cantonment,12.910651,79.1278469,Q7919208,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
ARV,Arni Road,Arni Road,12.6320942,79.2092743,Q63355739,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PRL,Polur,Polur,12.5103441,79.1301703,Q63357564,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TNM,Tiruvannamal,Tiruvannamalai,12.2384579,79.0778617,Q16867977,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TRK,Tirukkovilur,Tirukkovilur,11.9757138,79.223494,Q63369197,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
DPJ,Dharmapuri,Dharmapuri,12.1258613,78.154221,Q15213879,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
OML,Omalur,Omalur Junction,11.7382934,78.0449299,Q18128961,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TRL,Tiruvallur,Tiruvallur,13.1161924,79.9121601,Q7809454,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
TMV,Tindivanam,Tindivanam,12.2291607,79.6515314,Q18394505,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
CHSM,Chinnasalem,Chinna Salem,11.6314243,78.8743248,Q31292125,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
ATU,Attur,Attur,11.595226,78.5935039,Q63371891,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
ETP,Ettapur Road,Ettapur Road,11.6509608,78.4683602,Q63371894,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
APN,Ayodhyapatti,Ayodhyapattanam,11.6715816,78.2342048,Q63371900,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SXT,Salem Town,Salem Town,11.6600537,78.1619935,Q21406838,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
PML,Papanasam,Papanasam,10.9232734,79.2689297,Q63356875,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
WJR,Walajah Road,Walaja Road Junction,12.9709314,79.3601973,Q63355884,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SCC,Sitapur Cant,Central Metro,13.0817254,80.273916,Q5091428,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SVA,Suwasra,Vadapalani,13.0509367,80.212065,Q17075798,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SKM,Singarayakon,Kilpauk,13.0776371,80.2426191,Q30638925,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
ALU,Ariyalur,Ariyalur,11.1489062,79.0686377,Q18109776,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
LLI,Lalgudi,Lalgudi,10.8754197,78.8153244,Q39050066,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
SRGM,Srirangam,Srirangam,10.8577026,78.6959617,Q63356181,MATCHED,exact_code,HIGH,OGD_Train_details_22122017,OSM_chennai_thoothukudi_stations_raw.geojson
